text,toxic
"rt olha chegouuuuu , queridinhos ! ! ! vem direo fem 1015 masc 2540 qqmt",0
"veio uma teorias loucas cabea agora , pqp to assustado",1
nao falado ontem ia patrocinado nada pudesse violar moralidade famlia brasileira,0
rt quer filha puta logo comigo 50x pior kkkkkkkkkkkkkk fica sapatinho,1
vai besta casquei ultima foto,1
"rt sei oq chocante , botafoguense , botafoguense falando torcida grandeza .",1
poi mano coisa chata porra,0
rt odeio sentir dio algum pq t trs porra tela celular posso meter soco fua .,1
ganhar raspo cabea sorteiochipart,0
rt vlw mano tmj,0
"rt mulher mulher discuti homem , briga t feia deixa pra passa fome vctediobailedoegito",0
bicho fico puto demais,0
"deve peso , chorar faz parte ritual cura , s vezes",0
rt to puto so queria prioridade vida alguem nessa caralha fds msm imagina outros,1
"lembro prola tmida quieta , criei monstro",0
"puta merda , saudade jogar midnight club 3",1
"rt voc eh fraco stuart liro , falta lepto lepisto lesoto lepecto doena rato",0
vai ferrar af desgraada perfeita amo gostosa vida,0
blz perdi onibus kkkkkkkkk vsf,1
"h mistrio h ano , desde criao ministrio pesca esplanada . braslia quase 40 mil pescadores recebem segurodefeso pago governo ?",0
"certeza vai mo , taylor mto inteligente",0
boca fechada pro plano darem certo ! ! ! !,0
"rt tambm amg , incomoda mata atlntica buceta",1
rt nao sei . pra mim todo japones comunista burro ... coisa q pai ensinou kk,1
rt deus s fez magra pq sabe q fizesse iria grande vadia,1
possvel vai virar porra jogo,0
hora comprar celular quero plus quero grande amo celular grande ano comprei celular grande coisa grande caralho merda,1
rt gosta cerveja geladinha aberrao,1
privacidade pra ficar triste paz vtnc,0
v manter assim pq outras pessoas nada ver pq d vontade porra cuzao caralho,1
"horrio deste ano , igual ano passado , vou morrer mm",0
curitiba t frio carai,1
vai sonhando filho puta,1
escurinho favela,0
rt amo isabela kkkkdkndhenwjwnwhaj,0
"rio janeiro , sempre respirou flamengo , precisava ofegante . ... domingo , aps porrar eterno fregus , recado vamos virar , mengo ! . estvamos pedindo , sim avisando . entende riscado . vale demais leitura !",0
"kakakak malcon negociando rom j dado certo itlia , ltima hora jogador deixou assinar rom pra ir pro barcelona dando chapu clube italiano . desde ento amado rom kakakakka . zenit cornetou kakakkakaka",0
"rt quatrocentos tweet , falta pouco paulinha fab",0
caralho sentaria varias mesa,0
retardado lev biologia considerao,1
adorava puta maria viva respondesse,1
kkkkkk n porra mulher outro mundo boa,0
lowkey so acho q liberdade ia fazer confuso kkkkk cm q vcs chegam casa dp 8 noite qd q vcs jantam ? ? ?,0
feio engraado .,0
"vezes d vontade sabe , j aceitei q n vai acontece kkkkk",0
"tava linda ontem , pqp",1
"rt babaca arrogante , acha ltima palavra direito , vsfder .",1
bolsonaro surfistinho ...,0
queria nude alma s foto pau,1
morrendo saudades,0
pena morte j lixos assassinos confessos ! gastar dinheiro gente sim desperdcio paga conta ! existe direitos humanos pessoas assim bolsominion porra !,1
s queria pensar muita coisa ...,0
porra cheguei sv merda fi kkkkkkkk,1
"rt amigo assim , j pegado todos kkk mpn nowunited",0
heri vegetariano outro patamar,0
saudades amigo seedorf,0
"realmente ... pensar disseram professores , sade , transportes publicos , cgtp , etc , agora greve privados , tocar ... j idade , aqui vai . .. pro caralho ...",1
"fico puta vejo coisas , namoral",1
cara 30 ano fez nada relevante vai dar jeito pa nunca,0
t errada,0
deus at richard ...........,0
poxa queria engolir pau jungkook inteirinho,1
"azul linhas area amigo , precisamos patrocinio gringo , precisamos alguem valorize clube pa .",0
"nunca fiquei to triste vida , pqp , emocionada demaissssss , acostumar esperar tudo ! ! !",0
"rt orra j acordo estressando , vsf",0
odeio ligaes vivo pqp q pertubao,1
t sentindo saudade caralho voc,0
limpar toda merda .,0
"pra mim t claro dar caneta , sei pra vocs",0
shawn mendes eh homofobico pq ja deixou claro eh gay cancelem aberrao,1
bolsonaro vingou globo ? ? ? ? folha so paulo lixo !,1
s pq nasci feio,0
"caralho , q gato",0
"lula t preso , babaca !",1
"lol , calhar q q acalmar ante responder . q disse to . n difcil encontrar pessoas qm assim q . q passo ferro desde mida mt amigo idd n sabem aprenderam 30 .",0
"esculachado , neto escroto crebro .",1
"mano , amo sair n frescura , n fica cara feia , super fecha cmg , karen bia so dessas",0
rt tag est sempre atual ! stfvergonhanacional,0
eita carai nao moss kkkkk,1
"ucrnia autoridades desrespeitaram instituies liturgia cargo , esqueceram todo poder emana povo , apenas exercem poder outorga povo , tempo limitado . resultado povo colocou pingos is ... lata lixo , literalmente .",0
deus ? ? ? ? ? fico espantado q parece q jornalista fazem mnimo,1
disse valho nada noite vem fuder comigo,1
"desgoverno destruio , esconde dado ! . sendo enganados roubados todos lados agora certeza covardes vo manipular dado apresentao falsa realmente .. at presente mostrar contrrio destruio visvel pas. ! . forabolonaro",1
porra lua decifrar asterisco,1
"gente agora srio , pq s comigo acontece gostar pessoa pra caralho gostar mim pra caralho ? ? ? ? oq errado vsfdddd",1
"aquecimento global mentira ! estudo base youtube faz sabio , faz ignorante merda ! vai estudar porra biologia fsica",1
juma pica,0
aguento gringas colocando grupo puta instagram gente,1
rt preocupao carai vida vou mandar boleto pra pagar visse,0
"hoje dia est lindo , perfeito levar tiro parei",0
rt nesse tempo ganhou copa brasil doi campeonatos brasileiros,0
"pessoas falando t escutando funk s pra ver raba meninas kkkkkkkkkkk , vocs j respeitaram",0
rt pqp anitta ? ? ? garota ? ? ? ? md,0
chama glria,0
"r 32,90 cada diadospais ideal busca conforto leitura palavradedeus , tempo , praticidade uso transporte dirios . vlido tempo limitado !",0
"ridculo cobrar deve espontneo , esperana mudar algo pessoa simplesmente dar valor verdade pura perda tempo fim sabemos vai mudar nunca at seguir baile aparecer algum faa outro faz",1
"rt maldita boca julga , sendo pior ...",0
rt kkkk melhor kk,0
"t puta sdds filho , c mt preguia ir p catarina",1
vagabundo ? ta rede social fela puta .... falou resposta . pau cu,1
kkkkkkkk otrio tomo pau,1
rt q saco odeio bater neurose c bagulho nada ver ai fico surtano soznha vai tomar cu,1
abenoado geezer butler .,0
recuperao portugus ..,0
rt meta 50 rts nessa foto cinquenta comentrios tag . vamos ? artista internacional favorito nowunited mpn,0
olhem levantamento roberta pqp obra arteeee,0
"rt pior coisa fazer aniversrio agosto porra desse frio , pra pegar rea lazer porque t frio",0
deixa pericles paz filho puta,1
rt entendeuuuu,0
"pra acreditar nisso mano , ningum liga pra nada nessa porra . fonte brasil fato",1
"man , v nego dando un murro nele satisfatrio ... favor violncia , pqp casos so necessrios",1
"acho indignao deveria at porque claro todos milcia virtual governo existe muitas vezes discursos , mnimo , compartilham modus operandi governo . at vai agir manipular opinio popular ?",0
"fiz gol , dei assistncia pra gol nico , tomamos virada pra 3x1 , fico puto perdemos baguio besta , pqp",1
"fumar , tute kkkkkkkkk toma trouxa",0
volteeei pras puta,0
"meio ministro infraestrutura recebeu hoje secretrio comrcio estados unidos , wilbur ross . durante reunio , ministro apresentou principais projetos p investimentos privados rodovias , ferrovias , porto aeroportos .",0
"ningum lembra desse cara , s lahm",0
"mal jovem achar porra nenhuma . viver stts aparncia to superficial ... cada cada n , julgamentos ...",0
pqp perdi jogo vlei hoje,0
treinador amrica admite difcil contar uribe jogo amanh,0
mar vier trar guas mulher vem quer nada alm algum trate bem,0
joga lixo,0
rt toma cu t aqui nessa bosta queria t jogando so paulo,1
"i caralho , ta chovendo ?",0
t afim fazer lomotif s foto feia,1
"karmy contm cmg pra nada ! pqp , vo mimadas assim infernooo oh caralhoooooooooo",1
auge dia ter manter ocupada porq ficar fazer vou ficar mal pensando lixo pra pessoa importante pra mim toquei,0
queria saber disfarar cara cu,1
s falta mara apresentar,0
quanto cu ce colocou ai ?,1
continuum sendo fofo so an,0
libera cocana ent caralho alado,1
rt amo solteira vsf,0
fao questo ver novo vdeo original . ento vou dizer tudo manipulado nesse vdeo taekooka,0
virar vagabundo jamais,1
porque voc foda pra caralho,0
"3 dia 38 jornada carioca cirurgia plsticas baker gordon symposiun , breve contedo indito toda novidades evento . sbcprj cirurgiaplastica plasticsurgery dranathaliafagundes",0
t vendo hora tacar fogo nessas burguesa caralho,1
puta q pariu corao,0
pior sonhei un dia ante tirava nota x ingls incrivelmente tirei kkkkk pqp,1
"jesus , deve sndrome cura petista ! ! burrice , intolerncia , ignorncia outros adjetivos ! ! !",1
usa tcnica garrafinha gelada lado cama kkkk porm vai ter efeitos colaterais . vai ter levantar pra ir banheiro kkk,0
ai voc ta boa rua passa pessoa carregando mpn luansantana luanetes luansantanashow,0
dudu ppp boalidades ..... babaca .,1
"alem todo mundo filho pequeno v servio maravilhoso presta junto irmo , so principais responsveis disseminao idiotice falta contedo ytbr , claro algoritmo lixo , doi deus cu ...",1
rt vai tomar cu,1
parar povinho insiste entrevistar bandido condenado .,1
", capit marvel doutor estranho acabariam , porm deixar capito amrica homem ferro seres protagonistas , bvio n kkkkk",0
kjkkkkkkkkkkkkkkkkk t passando mal vei,0
vamos ver justia verme aberrao ok j print xingamentos,1
"9 ano melhor duvidas ! ! ! ! ! fiquei amiga pessoa q jamais acharia q aproximaria , puta merda gnt vivia junta",0
"passei un 2 me pegando identidade pra olhar , entrei faculdade povo puto cmg pq liberava catraca logo",0
quero tambm ! esquerda est maluca .,0
dessa s dizer ... carai neguim fude kkk bjs,1
"yony querendo pouco 3 milhes reais luvas , pra renovar fluminense kkkkkkkkkkkk t viajando cara , deve ta querendo ralar j",0
putinha aguenta 3,1
"puta pariu , j material farmacologia moodle to realmente surtando",0
alface aberrao,1
kkkkkkkkk amo viado mano,0
malicia cara joga cara jeito balana lana bom demais,1
daora to foda mind blowing funciona spoiler caso algum reclame to eita porra caraia . nessa fase srie tudo assim ! hahahahaha amo .,0
"vermis suprema corte brasileira fizessem tanta merda tirassem tanto vagabundo cadeia modomia desvairada acabar , quer assunto sair l urgente .",1
queria amigo chamassem rols,0
rt j farta amiga toda gente s levar facadas costa,0
"rt psicopata ! ! ! ! ... bolsonaro est envolvido pessoas perigosas , mudar ! ! ! ! ... bor espalhar ! ! ? ...",1
"mata , pensar voltar",0
puta q pariu clica caralho,1
"pai acabou fuder , olha .. sinceramente , ta foda !",0
vsf vcs ae,1
vi tv mto praticavaera saudvel fiquei acho doente ento,0
"pra sabe gato faz coloca garras pra di pra cacete , imagina nenm pele super sensvel",0
"cara , to mega iludida porra so paulo sei acontece sabe .... puta time , capacidade porque disputando apenas brasileiros foca nessa porra ttulo vem",1
rt vc cuida vida outros vc feliz ...,0
vc acha q gaara realmente,1
"apoiava abel , apenas defendia permanncia abel ? , porra vc quis dizer ? voc entende q defender permanncia abel , justificativa , defender prprio abel ? vc j esqueceu abel fez comando ? cego ? surdo ?",1
porra vai fuder ninguem,1
"so 20 cntts wpp , q fase pqp",1
caraluo porra consefuimos.porra vai bras8l.porra.buceta caralho uhuuwusuauzhqjzhqudhajai aaaaaaa,1
tambm d bastante conselhos seguidores twitter vezes desabafa maioria vezes posta coisas gente precisa ouvir .,0
brota hoje vai rola quele pique,0
"boa bolsonaro ! mostra pra cambada manda ! podem ficar mimimi , nunca voto to recompensado ! ! gostou , s chorar",1
"trabalhar bom , nada n ?",0
"machismo vrus , hereditariedade , homem vira hospedeiro mental . muitos manifestam sintomas , existe desenvolva doena total , , mulher , pode letal . preciso combater mal , requer rigor , necessariamente destruir vetor !",0
rt chama ateno fisicamente homem ? feio,0
pequizeiro to ...,0
posso dormir casa nikao ?,0
porra remdio serve porra nenhuma vai tomar cu capitalismo,1
"vagabunda , amo , considero irmo puta",1
"aah sim , coitadinho dia hacker n ? esto armando pobres vtimas !",1
merendeiras rede municipal ensino mafra receberam formao boa prticas manipulao alimentos acesse link,0
kkkkkkkkk deus tarda n falha,0
vai merda piranha grvida,1
"jm at mostra bunda jk , s brotheragem",1
"sei pessoas n gostam tanto vlei handball igual gostam futebol , time tanto feminino qnt masculino so caralho",0
"rt fizer videozinho desse novo , vcs iriam querer participar ?",0
t at vendo tempinho vai foder .,1
"maior responsa porra .. educar ensinar valores , proteger querer colocar potinho , q postar foto c legenda mame ama story rol .. exige demais , saber q responsa oq vai ensinar deixar fazer tb .",1
la casa papl vicia r,0
"denise pires , reitora ufrj , diz universidade corre risco parar caso receba verba mec custeio servios segurana limpeza . enquanto , ministro educao est preocupado chamar paulo freire feio ... prioridades , n ?",0
claro sim ! paulinha fab,0
tomar cu ningum quer,1
bolso facada,0
filho monte gordo . oxalestivessefcil,0
nessa primeira semana aula sabendo vou ter dividir tempo estudar votar pra caralho mpn nowunited uniters,1
rt olho pra coisas penso deus criou homem ci partir cu,1
blusa transparente ta casa irm desde carnaval passado achando perdido kkk,0
"rt mano , e s estpido merda ovo sabes partir wtf",1
pior eh . pior eh adiar jogo adiar rodada data fifa . eh incoerncia .,0
rt sexta louca porque t tudo dando errado,0
irmo gosto lixo,1
"bolsonaro usa mdias sociais meio controlar mdia . toda grandes redes notcias acreditam controlam ciclo notcias , , realidade , bolsonaro controla atravs mdias sociais .",0
ai irmo zero vontade ir pro colgio hj pqp,0
dia filha completa 2 m,0
senhor d pacincia pq der mato irm,0
moral vai tomar cu vei,1
torava toda japinha,1
nunca corri tanto baile q ontem kkkkkkkkkk pqp,0
falecimento senhora d isaltina marque pinto almeida 84 ano vir amanh domingo igreja ...,0
falar exonerao ricardo galvo ... foda . gente acha piorar governo federal vai l faz 29423849237492374973 merda ano,1
"sexy d , mano deve humana",0
rt t sacanagem mandaram entregar n ? ? ? ? pra ter matado fdp desse,1
dodi kkk,0
sentimentos ! !,0
doi estados espritos,0
cara to puto povo t jogando jogo u vantagem leve,0
"grampola elia , puta pariu , acertavam jogada .",0
"deus , q homem",0
kkkkkkkkkkkk ! vc comediante !,0
surto nesse dia pq baek tava gostoso pra caralho,1
fizer bem feito entregam at .,0
"vou pechar lenda bane vamo role diferenciado , hoje pode hoje sexta feira aiaiai",0
"ai outra hora fao header bem legalzinha pq hobi merece , momento to preguicinha",0
rt porra tquio sofrido chupaaaa,1
kkkkkkk ridcula,1
"guarda vagabunda , deliquente principalmente mina carente !",0
"kkkkkkkkkkkkk ate sei , retardada",1
"viva vida enquanto vc vivo , pq dp vc morrer , n vivera",0
rt quero distncia desse povo pau c,1
porra eh ! ! !,1
"odeio , odeio fica pedindo ex , pqp mulher esquece md",0
falta pouco pra surtar,0
"caralho . burro . 32 time srie b 92. queria subissem 4 ? ? regra mudada ante campeonato comear , ante grmio saber posio iria ficar , tudo porque time demais subir 4",0
fizesse tatuagem assim av infartaria,0
"caralho merda , semana inteira pra escola vou deixo neosoro l kkkkkkkkkk s acontece comigo",1
"apenas beneficiando furto , ovum . conivente , patrocinador mandante furto , agravante receptador confesso , receptador criminoso . recepo d cadeia .",0
queria mpn luansantana luanetes luansantanashow,0
amanh vai ter festa agostina aqui rua casa,0
apaixonada lugar,0
frio pra cacete sair tarde ainda bem vou uber rpido,0
hora tomo vergonha cara,0
foia serve pra limpar c ....,0
sheilla brait voltando caralhoooooo . tri t vivo porraaaaaaaa vamo caralho vamoooo voleinaglobo,0
vai trabalhar vagabundo !,1
"ter estmago comentar atrocidade , dupla lixo , vo pagar vida cadeia , presos faram servio .",1
"aniversrio 70 ano clssico feminista segundo sexo , simone beauvoir , duas vozes originais debate sobre gnero , paul b. preciado virginie despentes , comentam legado filsofa francesa serrote 32",0
momento puta pariu semana !,0
meninas jogaram mt pqp,0
t to difcil,0
nunca vou beber tanto igual ontem puta pariu raiva,0
"pai cu , livrainos mural ! ! ! !",0
fudida caralho,0
q luta maquiar carro pqp,0
"breno sempre copia capito cartola , namoro txico caralho",1
"6. triste , pra tia finalmente entendeu conceito milhas , tava toda feliz passear barateza entao queria largar mo porra fortalece pq md",0
gente pqp hoje descobri notificaes boto ver,0
5hrinhas ausente tudo vai pra puta pariu,1
"achei nada ver poltica sim verdade , hahahahah coloca putin , maduro , fica aparelho mpar pt quer revanchismo . n inteligente abre paga famlia militares vtimas . igual igual . ponto vira pgina .",0
"t puta cmg pq dormi casa avisar nada virei pra falei morde costa comdia , deus n contra t fudido kkkkkkkkk",1
"amo amigo ,",0
melhor notcia hoje exosc ganhou primeiro win toda tentativa falha boicote parte f ... digo acima exo s exo refescos so timos kkk,0
"rt m quero meter relao , vale pena dar moral pra vacilo",0
pior coisa despedir ainda est vivo,0
"rt pergunta idiota ... claro q moro , deltan lavajato sr q lado est ? ? ? ?",1
talvez sangue sim porra fica reflexo,1
quer meda buceta s to pistola,1
vdeos amo assistir internet racistas apanhando feio qualquer regio planeta,1
s faltava agora mame ficar monitorando relacionamento filho burro velho,1
s to entendo tanto curtida nesse twitter ridculo,1
"vergonha todo lado amigo , imprensa ridcula , bastasse , vem idiota oab",1
agonia caralho kkkk,1
message to 1. 2. hm kk bjs 3. espero vc faa bem 4. amo vcs 5. oi conta vai rola algo 6. beija 7. amo 8. vai fuder corno 9. linda amoo 10. tchauzinho drop an emoji the question !,1
"fltame moito chegar ter fillos , pero historias xiran arredor desta temtica introducen reflexins inquedanzas sobre limitacins esfera domstica , metamorfose corpo cambio relacins interpersoais",0
grande dia . menos pra ficar falsiano nmeros atrapalhando desenvolvinento pa,0
"sim . mal jogou . posio lateral direita . la q faz bem , l q destacou . acho imbecilidade clube focar duas maiores inditas contrataes s posio . i idiota tantos nveis q cabe aqui",0
rt porra gria pra voc falar pra qualquer !,1
rt foda linda apenas sulista danando brega funk,0
"objetivo desse texto mudar opinio formada sobre mim ningum , sim deixar claro satisfeito , prometo esforar bastante pra melhorar . obrigado ateno , espero ter ajudado algum conflito interno .",0
kakakaka pqp,1
provrbio japons afirma humano possui 3 face . primeira mostramos mundo . segunda mostramos amigo famlia . terceira mostramos ningum . verdadeiro reflexo . concorda ?,0
idiota conta dia eleger ciro ! to lucro,1
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk aaaaaah pqp mermo t sacanagem,0
est aborrecido caralho,0
"boua vagabundo , good vagabond ce diz inglatera lov lt3",1
arrumar conta coisa boiola !,1
hacker apareceu starbucks agora vir . hackertapresobabaca,0
"moral , sol semana todaaaaa , chega folga tempo fica cu , q odio",1
voc sabe existe diferena relatrio financeiro coaf inqurito policial ? parece,0
"s reclama , vai fuder",1
"to puto , pq p ter sido preso",0
"gente tenta boa d sabe qnd vai emprestar algo empresta maior boa vontade , chega hora pessoa devolver , deus n , empenho tomar cu",1
rt vai beijar filha puta,1
ento agr pode gostar raa negra pq eh moda ? q vocs sabem gostos musicais todo mundo n .. vo toma cu,1
queria foder desse jeito sindicatodosdivulgadores,1
vai comer beb tambm ?,1
clula faz casa lugar vida,0
ganhamo porra aqui brasil rumo tokio,0
jeito exagerado gostava,0
